,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic data and indicators,Data Type,Units,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Overnights visitors (tourists),inbound_arrivals ,Thousands,5,5,5,6,7,8,6,6,6,9,14,17,21,28,23,41,66,105,116,133,155,210,255,274,316,30,0.001,20.900
Same-day visitors (excursionists),inbound_arrivals ,Thousands,,,,,,,,,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Africa,inbound_arrivals_by_region,Thousands,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.3,..,..,..
Americas,inbound_arrivals_by_region,Thousands,1.0,1.1,1.0,1.6,2.3,3.0,2.4,2.2,2.0,3.6,5.2,5.6,6.7,8.2,5.7,6.5,8.1,7.9,9.1,9.8,9.4,9.4,12.3,14.1,15.1,1.4,0.0,2.900
East Asia and the Pacific,inbound_arrivals_by_region,Thousands,1.5,1.6,1.7,1.4,1.6,1.4,1.4,1.3,1.4,1.7,2.8,4.3,5.4,7.4,7.7,8.6,14.9,21.3,21.2,32.1,24.7,30.3,33.3,29.7,33.3,2.8,..,3.600
Europe,inbound_arrivals_by_region,Thousands,2.2,2.4,2.6,3.2,3.1,3.0,2.5,2.1,2.8,3.9,5.6,7.3,8.9,11.8,9.9,11.9,14.2,14.4,13.6,15.6,14.4,14.4,16.2,18.8,21.3,1.9,..,3
Middle East,inbound_arrivals_by_region,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,0.1,0.1,0.3,..,..,..
South Asia,inbound_arrivals_by_region,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,245.3,23.6,..,11
Other not classified,inbound_arrivals_by_region,Thousands,0.1,0.1,0.1,..,0.2,0.2,0.1,..,0.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Personal,inbound_purpose,Thousands,4.8,5.2,5.4,6.2,7.2,7.6,6.4,5.6,6.3,9.2,13.6,17.3,21,26,22,37,43,85,98,118,140,192,238,259,298,28,0,..
Business and professional,inbound_purpose,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,2,2,4,23,20,18,16,15,18,17,15,17,2,..,..
Air,inbound_transport,Thousands,5,5,5,6,7,8,6,4,5,7,12,14,16,23,19,35,57,60,61,66,86,104,127,142,143,11,0,10.900
Water,inbound_transport,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Land,inbound_transport,Thousands,..,..,..,..,..,..,..,2,1,3,2,3,5,5,4,6,9,46,56,68,69,106,128,132,173,19,..,10
Guests,inbound_accomodation,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Overnights,inbound_accomodation,Thousands,..,..,46,53,61,53,47,49,74,74,..,170,220,179,207,277,303,303,371,341,363,408,420,"2,210",216,0,..,
Travel,inbound_expenditure,US$ Millions,..,..,..,..,..,..,..,..,..,..,..,23,28,37,42,40,47,61,83,84,94,92,105,103,120,84,4,0.2
Passenger transport,inbound_expenditure,US$ Millions,..,..,..,..,..,..,..,..,..,..,..,13,19,10,9,24,29,32,33,15,26,47,48,18,..,..,..,..
Overnights visitors (tourists),domestic_arrivals,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,765,..,..,..,
Same-day visitors (excursionists),domestic_arrivals,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,286,..,..,..,
Guests,domestic_accomodation,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Overnights,domestic_accomodation,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Overnights visitors (tourists),outbound_departures,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41,..,..,..,
Same-day visitors (excursionists),outbound_departures,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31,..,..,..,
Passenger transport,outbound_expenditure,US$ Millions,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,2,2,2,3,1,4,1,2,1,..,..,..,..
Number of establishments,accomodations,Units,..,..,..,..,..,..,..,..,..,..,..,93,132,143,119,128,123,123,139,93,116,124,136,160,173,182,..,
Number of rooms,accomodations,Units,..,..,..,..,"1,215","1,215","1,239","1,239","1,239","1,436","1,532","1,860","2,004","2,385","2,454","2,805","2,749","2,805","3,204","2,463","3,292","3,449","3,721","4,335","4,532","4,738",..,
Number of bed-places,accomodations,Units,..,..,..,..,"2,153","2,153","2,366","2,366","2,366","2,636","2,746","3,320","3,531","4,183","4,868","5,572","5,464","5,572","6,380","4,925","6,029","6,629","7,167","7,777","8,394","8,762",..,
Occupancy rate / rooms,accomodations,Percent,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Occupancy rate / bed-places,accomodations,Percent,..,..,..,..,50.34,..,25.00,25.00,25.00,25.00,26.50,12.40,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Average length of stay,accomodations,Nights,..,..,..,..,7.00,..,8.00,8.00,8.00,8.50,8.00,7.90,7.80,7.60,7.60,7.50,..,..,..,..,..,..,..,..,..,..,..,
Accommodation services for visitors (hotels and similar establishments),employment,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Other accommodation services,employment,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Food and beverage serving activities,employment,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Passenger transportation,employment,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel agencies and other reservation services activities,employment,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Other tourism industries,employment,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
